EPOCAS;MAE;MSE;RMSE
1000;16.36;751.7;27.42
1000;17.12;1012.79;31.82
1000;17.91;977.48;31.26
1000;18.42;970.25;31.15
1000;17.99;1051.11;32.42
1000;18.38;1002.29;31.66
1000;21.23;1310.36;36.2
1000;17.01;859.51;29.32
1000;19.18;1082.64;32.9
1000;18.8;1081.22;32.88
1000;20.21;1151.44;33.93
1000;19.63;1073.42;32.76
1000;19.07;1067.16;32.67
1000;20.98;1395.05;37.35
1000;19.51;1302.58;36.09
1000;19.61;1107.34;33.28
1000;19.2;1220.6;34.94
1000;19.43;1137.6;33.73
1000;20.77;1337.73;36.57
1000;20.23;1381.53;37.17
1000;19.052;1113.6899999999998;33.275999999999996
