EPOCAS;MAE;MSE;RMSE
1000;14.86;646.44;25.43
1000;16.41;785.03;28.02
1000;16.79;856.6;29.27
1000;16.7;836.07;28.91
1000;16.67;949.34;30.81
1000;19.13;1291.4;35.94
1000;17.72;1050.29;32.41
1000;16.3;783.37;27.99
1000;17.48;1261.36;35.52
1000;15.2;860.36;29.33
1000;15.16;875.82;29.59
1000;16.28;1112.39;33.35
1000;18.48;1652.86;40.66
1000;16.83;1203.93;34.7
1000;16.78;881.09;29.68
1000;15.83;822.35;28.68
1000;16.35;864.44;29.4
1000;18.46;1247.85;35.32
1000;17.44;835.19;28.9
1000;17.68;1030.74;32.11
1000;16.8275;992.3459999999999;31.301000000000005
