EPOCAS;MAE;MSE;RMSE
1000;14.15;505.46;22.48
1000;16.08;621.9;24.94
1000;17.1;660.03;25.69
1000;19.77;837.67;28.94
1000;19.46;819.74;28.63
1000;21.93;977.23;31.26
1000;20.71;943.1;30.71
1000;21.45;1030.35;32.1
1000;21.25;1051.41;32.43
1000;24.14;1203.47;34.69
1000;22.01;1100.6;33.18
1000;22.09;1105.81;33.25
1000;22.1;1129.38;33.61
1000;22.92;1190.32;34.5
1000;23.86;1313.87;36.25
1000;25.5;1507.71;38.83
1000;26.36;1589.73;39.87
1000;24.44;1459.63;38.21
1000;25.5;1570.15;39.63
1000;25.77;1627.63;40.34
1000;21.8295;1112.2595000000001;32.977000000000004
