EPOCAS;MAE;MSE;RMSE
1000;14.28;568.75;23.85
1000;16.06;872.67;29.54
1000;15.55;707.04;26.59
1000;14.37;772.33;27.79
1000;16.86;905.67;30.09
1000;18.29;971.25;31.16
1000;17.46;1138.27;33.74
1000;19.4;1147.67;33.88
1000;20.63;1942.76;44.08
1000;19.24;1637.64;40.47
1000;19.98;1712.63;41.38
1000;19.04;1388.87;37.27
1000;17.98;1203.26;34.69
1000;17.77;1080.2;32.87
1000;16.86;1086.15;32.96
1000;18.0;1131.17;33.63
1000;15.54;870.91;29.51
1000;17.77;1212.59;34.82
1000;20.1;1564.27;39.55
1000;16.73;1000.85;31.64
1000;17.5955;1145.7475;33.4755
